"","time","depth","obs_flag","forecast","data_assimilation","statistic","species_1","species_2"
"1",2001-03-04,1,1,0,0,"mean",0.5,0.5
"2",2001-03-04,1,1,0,0,"se",0,0
"3",2001-03-04,1,1,0,0,"Conf_interv_02.5",0.5,0.5
"4",2001-03-04,1,1,0,0,"Conf_interv_97.5",0.5,0.5
"5",2001-03-04,1,2,0,0,"mean",0.5,0.5
"6",2001-03-04,1,2,0,0,"sd",0,0
"7",2001-03-04,1,2,0,0,"Pred_interv_0.25",0.5,0.5
"8",2001-03-04,1,2,0,0,"Conf_interv_97.5",0.5,0.5
"9",2001-03-04,3,1,0,0,"mean",0.5,0.5
"10",2001-03-04,3,1,0,0,"se",0,0
"11",2001-03-04,3,1,0,0,"Conf_interv_02.5",0.5,0.5
"12",2001-03-04,3,1,0,0,"Conf_interv_97.5",0.5,0.5
"13",2001-03-04,3,2,0,0,"mean",0.5,0.5
"14",2001-03-04,3,2,0,0,"sd",0,0
"15",2001-03-04,3,2,0,0,"Pred_interv_0.25",0.5,0.5
"16",2001-03-04,3,2,0,0,"Conf_interv_97.5",0.5,0.5
"17",2001-03-04,5,1,0,0,"mean",0.5,0.5
"18",2001-03-04,5,1,0,0,"se",0,0
"19",2001-03-04,5,1,0,0,"Conf_interv_02.5",0.5,0.5
"20",2001-03-04,5,1,0,0,"Conf_interv_97.5",0.5,0.5
"21",2001-03-04,5,2,0,0,"mean",0.5,0.5
"22",2001-03-04,5,2,0,0,"sd",0,0
"23",2001-03-04,5,2,0,0,"Pred_interv_0.25",0.5,0.5
"24",2001-03-04,5,2,0,0,"Conf_interv_97.5",0.5,0.5
"25",2001-03-05,1,1,0,0,"mean",0.974419833597244,1.94326961261461
"26",2001-03-05,1,1,0,0,"se",0.0114297493864228,0.00813954114838452
"27",2001-03-05,1,1,0,0,"Conf_interv_02.5",0.957471296797526,1.92665452651153
"28",2001-03-05,1,1,0,0,"Conf_interv_97.5",0.989906969070393,1.95052518557114
"29",2001-03-05,1,2,0,0,"mean",0.910556966401974,2.0083971242561
"30",2001-03-05,1,2,0,0,"sd",0.679381082826233,0.25410885887718
"31",2001-03-05,1,2,0,0,"Pred_interv_0.25",-0.251247288351838,1.59598811112189
"32",2001-03-05,1,2,0,0,"Conf_interv_97.5",1.7101871429683,2.35862207746184
"33",2001-03-05,3,1,0,0,"mean",0.971879186454924,1.95442903639358
"34",2001-03-05,3,1,0,0,"se",0.00893334589255104,0.00626561192822347
"35",2001-03-05,3,1,0,0,"Conf_interv_02.5",0.957759414771933,1.94304781505553
"36",2001-03-05,3,1,0,0,"Conf_interv_97.5",0.984283527557042,1.96296668126479
"37",2001-03-05,3,2,0,0,"mean",0.762444870691407,2.00091430305358
"38",2001-03-05,3,2,0,0,"sd",0.554624840061136,0.182321341513159
"39",2001-03-05,3,2,0,0,"Pred_interv_0.25",-0.299837160207564,1.75058061491881
"40",2001-03-05,3,2,0,0,"Conf_interv_97.5",1.33001363436757,2.24184496126655
"41",2001-03-05,5,1,0,0,"mean",0.970494633830706,1.95634068763025
"42",2001-03-05,5,1,0,0,"se",0.00982397164042495,0.0111856285200365
"43",2001-03-05,5,1,0,0,"Conf_interv_02.5",0.958197539030585,1.93880660295981
"44",2001-03-05,5,1,0,0,"Conf_interv_97.5",0.984425651421085,1.97531965377955
"45",2001-03-05,5,2,0,0,"mean",0.758436535953704,1.96837491833405
"46",2001-03-05,5,2,0,0,"sd",0.450448665330044,0.148970533972061
"47",2001-03-05,5,2,0,0,"Pred_interv_0.25",0.16817044436613,1.80902941803214
"48",2001-03-05,5,2,0,0,"Conf_interv_97.5",1.53003164627347,2.27197247947016
"49",2001-03-06,1,1,0,0,"mean",1.81452550124886,7.16160204261586
"50",2001-03-06,1,1,0,0,"se",0.0186359126146778,0.0279667301147549
"51",2001-03-06,1,1,0,0,"Conf_interv_02.5",1.78596269107313,7.1137810610766
"52",2001-03-06,1,1,0,0,"Conf_interv_97.5",1.83797488478497,7.19128805972669
"53",2001-03-06,1,2,0,0,"mean",1.76857872926227,7.02903177454307
"54",2001-03-06,1,2,0,0,"sd",0.321830379045978,0.177653108004298
"55",2001-03-06,1,2,0,0,"Pred_interv_0.25",1.51267604278516,6.79297393403627
"56",2001-03-06,1,2,0,0,"Conf_interv_97.5",2.41612746406883,7.34407151326363
"57",2001-03-06,3,1,0,0,"mean",1.80830470896869,7.20013348772638
"58",2001-03-06,3,1,0,0,"se",0.0121702286674564,0.0267476094954866
"59",2001-03-06,3,1,0,0,"Conf_interv_02.5",1.79023492773954,7.14971651504641
"60",2001-03-06,3,1,0,0,"Conf_interv_97.5",1.8247179431251,7.22699771296513
"61",2001-03-06,3,2,0,0,"mean",1.92926871937751,7.24992865975455
"62",2001-03-06,3,2,0,0,"sd",0.424527180196467,0.0978403139780826
"63",2001-03-06,3,2,0,0,"Pred_interv_0.25",1.30432565629681,7.10234969186662
"64",2001-03-06,3,2,0,0,"Conf_interv_97.5",2.62462231028755,7.38250602478011
"65",2001-03-06,5,1,0,0,"mean",1.80507648320572,7.20786390885476
"66",2001-03-06,5,1,0,0,"se",0.0182360589511812,0.0352368261992529
"67",2001-03-06,5,1,0,0,"Conf_interv_02.5",1.77619135515945,7.15815156253649
"68",2001-03-06,5,1,0,0,"Conf_interv_97.5",1.83008656161915,7.27118059903112
"69",2001-03-06,5,2,0,0,"mean",1.76706915768081,7.21003164907713
"70",2001-03-06,5,2,0,0,"sd",0.348907378120728,0.255832854464135
"71",2001-03-06,5,2,0,0,"Pred_interv_0.25",1.26294676924652,6.91873890027501
"72",2001-03-06,5,2,0,0,"Conf_interv_97.5",2.3256182215468,7.62127868342137
"73",2001-03-07,1,1,0,0,"mean",3.03527176955051,20.795482370636
"74",2001-03-07,1,1,0,0,"se",0.0304777231871666,0.0526230811121092
"75",2001-03-07,1,1,0,0,"Conf_interv_02.5",2.98815485575757,20.7067223196958
"76",2001-03-07,1,1,0,0,"Conf_interv_97.5",3.07562793208848,20.8497037581852
"77",2001-03-07,1,2,0,0,"mean",3.24602812719413,20.8029205225975
"78",2001-03-07,1,2,0,0,"sd",0.457166554084961,0.218219834643466
"79",2001-03-07,1,2,0,0,"Pred_interv_0.25",2.51088653785087,20.4165314325997
"80",2001-03-07,1,2,0,0,"Conf_interv_97.5",3.69662885660517,21.0616432507495
"81",2001-03-07,3,1,0,0,"mean",3.0237602343164,20.8643812763078
"82",2001-03-07,3,1,0,0,"se",0.0181465451439101,0.0558055754743753
"83",2001-03-07,3,1,0,0,"Conf_interv_02.5",2.99763608398743,20.7615883694544
"84",2001-03-07,3,1,0,0,"Conf_interv_97.5",3.04547498658449,20.9287167822416
"85",2001-03-07,3,2,0,0,"mean",3.07260106233028,20.8595586472143
"86",2001-03-07,3,2,0,0,"sd",0.488539111433466,0.190017556449555
"87",2001-03-07,3,2,0,0,"Pred_interv_0.25",2.47886522913835,20.5730899082456
"88",2001-03-07,3,2,0,0,"Conf_interv_97.5",4.02919092406465,21.0968508737129
"89",2001-03-07,5,1,0,0,"mean",3.02351711648888,20.8765128192215
"90",2001-03-07,5,1,0,0,"se",0.0230731503004717,0.0697322370542522
"91",2001-03-07,5,1,0,0,"Conf_interv_02.5",2.98720057687893,20.7735847812598
"92",2001-03-07,5,1,0,0,"Conf_interv_97.5",3.05889342492219,20.9973227313177
"93",2001-03-07,5,2,0,0,"mean",3.16680354661053,20.7762629338125
"94",2001-03-07,5,2,0,0,"sd",0.373326245628805,0.149066113165758
"95",2001-03-07,5,2,0,0,"Pred_interv_0.25",2.64116210485268,20.5467969125018
"96",2001-03-07,5,2,0,0,"Conf_interv_97.5",3.59467856627247,21.006272823142
"97",2001-03-08,1,1,0,0,"mean",3.89087742405789,17.8411916701994
"98",2001-03-08,1,1,0,0,"se",0.0276960916292871,0.117672894218259
"99",2001-03-08,1,1,0,0,"Conf_interv_02.5",3.84871266792338,17.7111550356513
"100",2001-03-08,1,1,0,0,"Conf_interv_97.5",3.92834333189026,18.0346977184455
"101",2001-03-08,1,2,0,0,"mean",4.12003075352125,17.9046521124226
"102",2001-03-08,1,2,0,0,"sd",0.435106614050697,0.299726688486867
"103",2001-03-08,1,2,0,0,"Pred_interv_0.25",3.66232512345172,17.4716842845703
"104",2001-03-08,1,2,0,0,"Conf_interv_97.5",4.79918929703562,18.3739087497074
"105",2001-03-08,3,1,0,0,"mean",3.86908575637494,17.6816198377633
"106",2001-03-08,3,1,0,0,"se",0.0197772731530599,0.12533741967882
"107",2001-03-08,3,1,0,0,"Conf_interv_02.5",3.84301722490812,17.5321524167133
"108",2001-03-08,3,1,0,0,"Conf_interv_97.5",3.90292918236515,17.9087236902425
"109",2001-03-08,3,2,0,0,"mean",3.78310702000486,17.7383919139248
