"","time","depth","forecast_issue_time","data_assimilation","ForecastProject_id","Forecast_id","Statistic","species_1","species_2"
"1",2001-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",0.5,0.5
"2",2001-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",0.5,0.5
"3",2001-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",0.5,0.5
"4",2001-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",0.5,0.5
"5",2001-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",0.5,0.5
"6",2001-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",0.5,0.5
"7",2001-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",0.5,0.5
"8",2001-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",0.5,0.5
"9",2001-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",0.5,0.5
"10",2002-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",0.971417031063967,1.94253651702065
"11",2002-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",0.962473997178131,1.93435136628587
"12",2002-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",0.979494974151859,1.95364896027309
"13",2002-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",0.966351121779875,1.95708800447567
"14",2002-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",0.957103279185817,1.939928298044
"15",2002-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",0.976503393814713,1.96941502410902
"16",2002-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",0.983481712763846,1.9492939719453
"17",2002-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",0.979386259413114,1.94719994353617
"18",2002-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",0.986370297701109,1.95207047649425
"19",2003-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",1.80820919111034,7.1159931611478
"20",2003-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",1.79977483245854,7.07938223477859
"21",2003-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",1.81338304511086,7.15488177312483
"22",2003-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",1.80262873726076,7.18231447939432
"23",2003-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",1.78804368729392,7.11477650316839
"24",2003-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",1.81762614798527,7.2350944127296
"25",2003-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",1.83180308917763,7.14058765582096
"26",2003-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",1.80564710438752,7.11994978644905
"27",2003-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",1.84749711769428,7.16484859554187
"28",2004-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",3.03190867253138,20.2799614755935
"29",2004-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",3.01431742795379,20.2024332728494
"30",2004-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",3.04559885605232,20.3651371445291
"31",2004-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",3.01119717781721,20.4147759991105
"32",2004-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",2.98897370839473,20.2935919447187
"33",2004-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",3.03259658070314,20.50863473102
"34",2004-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",3.06623098713264,20.3258108629805
"35",2004-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",3.02645885021773,20.2982556573632
"36",2004-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",3.10133259952978,20.3643792308864
"37",2005-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",3.9197990759029,16.6613195342419
"38",2005-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",3.91050674362947,16.4542985395404
"39",2005-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",3.9293219492411,16.8622939755044
"40",2005-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",3.88248630150095,16.3761926471443
"41",2005-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",3.85654982933131,16.1636832622655
"42",2005-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",3.91793414850065,16.637057913004
"43",2005-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",3.95777951452656,16.5393093229736
"44",2005-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",3.91005409303302,16.414134362746
"45",2005-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",3.99201367934014,16.64796500642
"46",2006-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",4.99786134706807,22.0651383695881
"47",2006-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",4.98833457092943,21.8280556120166
"48",2006-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",5.0048807026164,22.3004913358106
"49",2006-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",4.99313363383606,22.4100222864852
"50",2006-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",4.97150313986401,22.0981080843969
"51",2006-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",5.01151117608202,22.6530940259169
"52",2006-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",5.03789672671903,22.1686575936444
"53",2006-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",4.98131386972821,22.0790552754799
"54",2006-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",5.07864571750005,22.2779573990079
